City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,64,MV,1538269970,100,-0.6,73.08,82.0,12.77
1,port augusta,24,AU,1538269200,32,-32.49,137.76,66.2,6.93
2,atuona,92,PF,1538269971,100,-9.8,-139.03,78.04,9.75
3,mataura,68,NZ,1538269877,100,-46.19,168.86,50.68,4.38
4,pichayevo,92,RU,1538269971,97,51.79,41.22,42.85,7.07
5,bluff,0,AU,1538269971,44,-23.58,149.07,78.85,9.98
6,ulaanbaatar,40,MN,1538269200,86,47.92,106.92,33.8,2.24
7,luderitz,0,NA,1538269971,76,-26.65,15.16,60.49,4.5
8,punta arenas,90,CL,1538267400,93,-53.16,-70.91,35.6,13.87
9,ushuaia,90,AR,1538265600,98,-54.81,-68.31,32.0,17.22
10,kapaa,90,US,1538265540,96,22.08,-159.32,80.06,12.75
11,mandalgovi,8,MN,1538269972,93,45.76,106.27,30.43,10.54
12,dikson,88,RU,1538269972,83,73.51,80.55,42.67,24.29
13,saskylakh,80,RU,1538269972,100,71.97,114.09,31.15,12.44
14,seybaplaya,20,MX,1538264460,83,19.65,-90.67,84.2,11.41
15,develi,40,TR,1538268600,58,38.39,35.49,59.0,3.36
16,butaritari,12,KI,1538269973,100,3.07,172.79,85.24,6.51
17,constitucion,90,MX,1538264580,56,23.99,-104.67,69.8,9.17
18,san quintin,20,PH,1538269200,78,17.54,120.52,82.4,2.24
19,bambous virieux,40,MU,1538265600,83,-20.34,57.76,69.8,10.29
20,vagamo,0,NO,1538269973,76,61.88,9.1,36.1,5.95
21,mosquera,40,CO,1538265600,63,4.71,-74.23,60.8,4.7
22,busselton,0,AU,1538269973,100,-33.64,115.35,56.8,17.58
23,sao felix do xingu,36,BR,1538269974,92,-6.64,-51.99,77.23,2.15
24,bredasdorp,12,ZA,1538265600,87,-34.53,20.04,53.6,2.24
25,hambantota,88,LK,1538269721,100,6.12,81.12,77.14,8.41
26,chokurdakh,92,RU,1538269974,96,70.62,147.9,32.86,16.46
27,port hardy,75,CA,1538269200,51,50.7,-127.42,62.6,6.93
28,albany,20,US,1538268840,80,42.65,-73.75,51.98,4.05
29,severo-kurilsk,8,RU,1538269871,88,50.68,156.12,52.57,6.62
30,rikitea,24,PF,1538269878,100,-23.12,-134.97,73.09,12.21
31,hasaki,75,JP,1538268540,100,35.73,140.83,68.0,6.93
32,antofagasta,90,CL,1538265600,77,-23.65,-70.4,59.0,10.29
33,jamestown,20,AU,1538269812,36,-33.21,138.6,57.25,14.12
34,te anau,56,NZ,1538269975,100,-45.41,167.72,44.74,3.49
35,vaini,20,IN,1538269877,94,15.34,74.49,68.32,2.37
36,puri,20,ID,1538265600,65,-7.54,112.45,82.4,3.36
37,sinnamary,0,GF,1538269976,96,5.38,-52.96,82.0,13.44
38,hermanus,8,ZA,1538269911,78,-34.42,19.24,44.2,2.71
39,islamkot,0,PK,1538269976,78,24.7,70.18,75.52,7.18
40,flin flon,88,CA,1538269976,81,54.77,-101.88,37.63,10.2
41,mar del plata,48,AR,1538269976,55,-46.43,-67.52,46.0,18.81
42,ribeira grande,44,PT,1538269902,100,38.52,-28.7,70.84,19.6
43,kahului,40,US,1538268300,66,20.89,-156.47,89.06,13.87
44,pangnirtung,92,CA,1538269977,99,66.15,-65.72,31.24,9.42
45,khairpur nathan shah,0,PK,1538269977,68,27.09,67.73,72.73,4.61
46,lagoa,0,PT,1538269200,83,37.14,-8.45,69.8,3.15
47,provideniya,92,RU,1538269977,88,64.42,-173.23,49.24,28.77
48,kisangani,68,CD,1538269977,99,0.52,25.21,72.28,2.15
49,cabo san lucas,75,MX,1538267160,88,22.89,-109.91,80.6,3.36
50,barrow,0,AR,1538269978,90,-38.31,-60.23,50.77,9.08
51,coihaique,75,CL,1538265600,62,-45.58,-72.07,32.0,3.36
52,sao joao da barra,92,BR,1538269716,100,-21.64,-41.05,74.35,7.74
53,huilong,48,CN,1538269978,79,28.89,110.18,62.92,2.93
54,sambava,88,MG,1538269978,100,-14.27,50.17,73.36,13.22
55,alofi,24,NU,1538265600,61,-19.06,-169.92,78.8,14.99
56,norman wells,75,CA,1538265600,55,65.28,-126.83,37.4,6.93
57,caborca,8,MX,1538269979,28,30.58,-111.1,89.65,4.38
58,esperance,20,TT,1538265600,88,10.24,-61.45,80.6,6.93
59,port alfred,0,ZA,1538269979,89,-33.59,26.89,63.37,20.6
60,vila velha,75,BR,1538269200,78,-3.71,-38.6,80.6,12.75
61,avarua,75,CK,1538269200,60,-21.21,-159.78,73.4,5.82
62,guabito,56,PA,1538269979,100,9.5,-82.61,75.25,2.93
63,manaus,20,BR,1538269200,69,-3.13,-59.98,82.4,3.36
64,qaanaaq,68,GL,1538269910,100,77.48,-69.36,16.75,4.38
65,saint george,90,GR,1538268600,93,39.45,22.34,57.2,12.75
66,chernyshevskiy,0,RU,1538269980,94,63.01,112.47,37.36,3.04
67,longyearbyen,20,NO,1538268600,73,78.22,15.63,19.4,8.05
68,konza,75,KE,1538267400,93,-1.74,37.13,60.8,5.82
69,hilo,75,US,1538267460,68,19.71,-155.08,86.0,11.41
70,puerto ayora,20,EC,1538265600,73,-0.74,-90.35,77.0,18.34
71,richards bay,80,ZA,1538269930,92,-28.77,32.06,62.47,2.59
72,iqaluit,90,CA,1538265600,93,63.75,-68.52,35.6,5.82
73,la romana,75,DO,1538265600,100,18.43,-68.97,75.2,16.11
74,katsuura,75,JP,1538268060,88,33.93,134.5,78.8,25.28
75,atakpame,32,TG,1538269981,96,7.53,1.13,69.85,2.71
76,kimbe,0,PG,1538269981,96,-5.56,150.15,82.45,7.4
77,cidreira,0,BR,1538269918,78,-30.17,-50.22,72.82,14.67
